,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
11,Linqiong,CN,30.42,103.46,86.0,61,95,4.47,overcast clouds,0.0,0.0
16,Jasper,US,37.2,-94.35,82.4,65,1,4.7,clear sky,0.0,0.0
21,Laval,CA,45.57,-73.69,78.01,38,40,6.93,scattered clouds,0.0,0.0
23,Ambon,ID,-3.7,128.18,82.4,78,40,5.82,scattered clouds,0.0,0.0
27,Kudahuvadhoo,MV,2.67,72.89,84.07,72,100,10.76,overcast clouds,0.0,0.0
28,Umm Kaddadah,SD,13.6,26.69,82.71,53,87,12.21,overcast clouds,0.0,0.0
30,George Town,MY,5.41,100.34,84.2,88,20,2.24,few clouds,0.0,0.0
36,Vaini,TO,-21.2,-175.2,78.8,83,40,9.17,scattered clouds,0.0,0.0
42,Jamestown,US,42.1,-79.24,75.2,69,1,3.36,clear sky,0.0,0.0
47,Georgetown,MY,5.41,100.34,84.2,88,20,2.24,few clouds,0.0,0.0
48,Rancho Palos Verdes,US,33.74,-118.39,75.0,63,0,1.99,clear sky,0.0,0.0
52,Prachuap Khiri Khan,TH,11.82,99.78,86.0,66,99,1.1,overcast clouds,0.0,0.0
54,Sosua,DO,19.77,-70.52,82.99,74,75,11.79,broken clouds,0.0,0.0
55,Morehead,US,37.27,-87.18,78.8,100,1,2.84,clear sky,0.0,0.0
61,Floriano,BR,-6.77,-43.02,77.23,59,0,6.87,clear sky,0.0,0.0
81,Bilma,NE,18.69,12.92,84.94,14,53,8.68,broken clouds,0.0,0.0
82,Key West,US,24.56,-81.78,84.99,62,20,5.82,few clouds,0.0,0.0
84,Kapaa,US,22.08,-159.32,82.4,65,1,11.41,clear sky,0.0,0.0
87,Mandalgovi,MN,45.76,106.27,79.7,24,93,11.3,overcast clouds,0.0,0.0
89,Valparai,IN,10.37,76.97,77.0,94,90,8.05,light rain,0.0,0.0
90,Manado,ID,1.49,124.85,87.8,58,20,6.93,few clouds,0.0,0.0
91,Kassala,SD,15.45,36.4,78.96,69,58,26.15,broken clouds,0.0,0.0
96,Lishu,CN,43.3,124.33,76.08,48,0,13.09,clear sky,0.0,0.0
101,Laguna,US,38.42,-121.42,80.6,28,1,14.99,haze,0.0,0.0
102,Kampong Chhnang,KH,12.17,104.55,85.69,71,92,8.84,overcast clouds,0.0,0.0
103,Xianshuigu,CN,38.98,117.38,86.0,55,0,8.95,clear sky,0.0,0.0
104,Atuona,PF,-9.8,-139.03,79.97,71,4,11.9,clear sky,0.0,0.0
106,Itarema,BR,-2.92,-39.92,75.67,90,47,7.11,scattered clouds,0.0,0.0
108,Sturgeon Falls,CA,46.36,-79.93,75.2,69,75,4.7,broken clouds,0.0,0.0
113,Hithadhoo,MV,-0.6,73.08,84.16,74,100,16.22,overcast clouds,0.0,0.0
116,Hobyo,SO,5.35,48.53,77.99,75,100,15.28,overcast clouds,0.0,0.0
124,Porto Novo,BJ,6.5,2.6,78.8,88,40,9.17,scattered clouds,0.0,0.0
125,Cobija,BO,-11.03,-68.77,78.8,66,93,1.72,overcast clouds,0.0,0.0
128,Vidim,RU,56.41,103.11,80.28,41,47,5.37,scattered clouds,0.0,0.0
129,Payakumbuh,ID,-0.22,100.63,81.61,63,85,3.85,overcast clouds,0.0,0.0
130,Piterka,RU,50.68,47.45,79.92,46,0,7.45,clear sky,0.0,0.0
134,Butaritari,KI,3.07,172.79,83.71,75,15,12.33,few clouds,0.0,0.0
137,Ujjain,IN,23.18,75.77,81.59,74,100,8.14,overcast clouds,0.0,0.0
138,Oneida,US,43.2,-75.47,78.8,57,90,8.05,overcast clouds,0.0,0.0
139,Hilo,US,19.73,-155.09,84.2,54,75,6.93,broken clouds,0.0,0.0
140,Buala,SB,-8.14,159.59,85.01,68,34,6.62,scattered clouds,0.0,0.0
143,San Patricio,MX,19.22,-104.7,86.0,79,40,11.41,scattered clouds,0.0,0.0
144,Axim,GH,4.87,-2.24,76.48,87,100,7.54,overcast clouds,0.0,0.0
151,Akhtubinsk,RU,48.28,46.17,85.62,25,0,5.91,clear sky,0.0,0.0
152,Ulety,RU,51.36,112.48,79.05,35,0,4.16,clear sky,0.0,0.0
155,Makakilo City,US,21.35,-158.09,87.8,48,20,10.29,few clouds,0.0,0.0
157,Crispiano,IT,40.61,17.23,75.99,70,0,10.87,clear sky,0.0,0.0
158,Labuhan,ID,-6.88,112.21,81.64,75,76,5.46,broken clouds,0.0,0.0
160,Urucui,BR,-7.23,-44.56,77.79,58,18,6.85,few clouds,0.0,0.0
165,Dingle,PH,11.0,122.67,87.87,67,37,10.27,scattered clouds,0.0,0.0
166,Rochester,US,43.15,-77.62,75.99,50,1,5.55,clear sky,0.0,0.0
176,Erzin,TR,36.96,36.2,78.01,90,81,2.66,broken clouds,0.0,0.0
177,Nouakchott,MR,18.09,-15.98,78.8,83,62,5.82,broken clouds,0.0,0.0
193,Tessalit,ML,20.2,1.01,87.91,12,0,7.67,clear sky,0.0,0.0
207,Dhidhdhoo,MV,6.88,73.1,82.98,72,100,7.72,overcast clouds,0.0,0.0
213,Novyy Rogachik,RU,48.68,44.06,80.6,30,0,8.95,clear sky,0.0,0.0
215,Riyadh,SA,24.69,46.72,86.0,22,0,2.24,clear sky,0.0,0.0
217,Champerico,GT,14.3,-91.92,82.27,79,100,17.07,overcast clouds,0.0,0.0
219,Carutapera,BR,-1.2,-46.02,75.96,91,58,4.45,broken clouds,0.0,0.0
224,Karratha,AU,-20.74,116.85,78.73,18,0,18.03,clear sky,0.0,0.0
225,Sinnamary,GF,5.38,-52.95,77.94,88,7,7.83,clear sky,0.0,0.0
234,Banjar,ID,-8.19,114.97,87.1,54,23,1.41,few clouds,0.0,0.0
239,Kloulklubed,PW,7.04,134.26,84.2,74,75,8.05,shower rain,0.0,0.0
240,Alihe,CN,50.57,123.72,75.58,27,0,8.97,clear sky,0.0,0.0
243,Acapulco,MX,16.86,-99.89,84.2,79,90,3.94,overcast clouds,0.0,0.0
244,Kolokani,ML,13.57,-8.03,80.8,66,10,5.35,clear sky,0.0,0.0
247,Cayenne,GF,4.93,-52.33,75.2,100,75,8.14,broken clouds,0.0,0.0
248,Lhokseumawe,ID,5.18,97.15,85.69,61,100,0.83,overcast clouds,0.0,0.0
249,Dhankuta,NP,26.98,87.33,78.55,72,12,4.99,few clouds,0.0,0.0
254,Ust-Kut,RU,56.79,105.77,81.81,29,96,4.65,overcast clouds,0.0,0.0
258,Thinadhoo,MV,0.53,72.93,83.62,78,94,12.71,overcast clouds,0.0,0.0
259,Naze,JP,28.37,129.48,86.0,94,75,11.41,light intensity shower rain,0.0,0.0
261,Kilindoni,TZ,-7.91,39.67,77.13,78,59,21.5,broken clouds,0.0,0.0
262,Kahului,US,20.89,-156.47,86.0,55,40,25.28,scattered clouds,0.0,0.0
267,Alofi,NU,-19.06,-169.92,78.8,88,75,13.87,broken clouds,0.0,0.0
268,Lorengau,PG,-2.02,147.27,85.3,72,40,12.03,scattered clouds,0.0,0.0
272,Ormara,PK,25.21,64.64,85.98,81,63,5.59,broken clouds,0.0,0.0
273,La Palma,US,33.85,-118.05,84.0,42,1,5.82,clear sky,0.0,0.0
275,Bengkulu,ID,-3.8,102.27,86.9,57,79,4.32,broken clouds,0.0,0.0
276,Tautira,PF,-17.73,-149.15,80.6,69,75,8.05,shower rain,0.0,0.0
285,Kamakhyanagar,IN,20.93,85.55,85.91,68,100,10.96,overcast clouds,0.0,0.0
286,Conceicao Do Araguaia,BR,-8.26,-49.26,78.8,57,0,4.7,clear sky,0.0,0.0
288,Paralimni,CY,35.04,33.98,80.6,74,20,5.82,few clouds,0.0,0.0
293,Rudnogorsk,RU,57.26,103.75,79.57,47,77,5.35,broken clouds,0.0,0.0
303,Meadow Lake,US,34.8,-106.54,84.2,25,75,20.8,broken clouds,0.0,0.0
311,Muli,MV,2.92,73.57,84.09,69,100,8.95,overcast clouds,0.0,0.0
313,Yumen,CN,40.28,97.2,85.87,14,64,7.72,broken clouds,0.0,0.0
325,Faanui,PF,-16.48,-151.75,78.69,79,37,13.11,scattered clouds,0.0,0.0
328,Shintomi,JP,32.08,131.47,80.6,83,75,13.87,broken clouds,0.0,0.0
329,Aguimes,ES,27.91,-15.45,75.0,83,0,26.4,clear sky,0.0,0.0
330,Cockburn Town,TC,21.46,-71.14,83.43,78,0,19.48,clear sky,0.0,0.0
331,Kedougou,SN,12.56,-12.17,76.19,90,99,5.3,overcast clouds,0.0,0.0
336,Sungai Padi,TH,6.09,101.88,84.2,74,20,4.7,few clouds,0.0,0.0
342,Tumpat,MY,6.2,102.17,84.2,74,20,4.7,few clouds,0.0,0.0
347,Sioux Lookout,CA,50.1,-91.92,75.2,64,40,5.82,scattered clouds,0.0,0.0
356,Ginda,IN,30.69,78.49,80.6,83,75,3.36,broken clouds,0.0,0.0
357,Olutanga,PH,7.31,122.85,83.07,73,36,3.24,scattered clouds,0.0,0.0
367,Katsuura,JP,35.13,140.3,84.2,79,75,27.51,light intensity shower rain,0.0,0.0
368,Lewisville,US,33.05,-96.99,81.0,69,75,8.05,broken clouds,0.0,0.0
370,Bathsheba,BB,13.22,-59.52,80.6,83,40,19.46,shower rain,0.0,0.0
371,Winston-Salem,US,36.1,-80.24,78.8,61,1,6.93,clear sky,0.0,0.0
372,Port Keats,AU,-14.25,129.55,82.63,24,0,10.42,clear sky,0.0,0.0
373,Eydhafushi,MV,5.1,73.07,83.61,67,100,5.53,overcast clouds,0.0,0.0
375,The Valley,AI,18.22,-63.06,84.2,74,40,14.99,scattered clouds,0.0,0.0
377,Brainerd,US,46.36,-94.2,78.8,65,1,3.15,clear sky,0.0,0.0
395,Aquin,HT,18.28,-73.4,80.37,78,39,2.21,scattered clouds,0.0,0.0
399,Miramar,US,25.99,-80.23,82.99,83,1,5.19,clear sky,0.0,0.0
405,Iwaki,JP,37.05,140.88,82.0,83,100,3.0,overcast clouds,0.0,0.0
406,Adrar,MR,20.5,-10.07,88.54,34,0,11.83,clear sky,0.0,0.0
407,Abu Kamal,SY,34.45,40.92,81.48,39,0,5.37,clear sky,0.0,0.0
409,Aboisso,CI,5.47,-3.21,75.16,90,99,3.89,overcast clouds,0.0,0.0
410,Vanimo,PG,-2.67,141.3,83.14,70,99,4.79,overcast clouds,0.0,0.0
415,Eyl,SO,7.98,49.82,79.88,62,0,21.83,clear sky,0.0,0.0
419,Mandera,KE,3.94,41.87,75.56,61,92,13.58,overcast clouds,0.0,0.0
423,Shingu,JP,33.73,135.98,77.0,100,75,9.17,broken clouds,0.0,0.0
424,San Andres,CO,12.58,-81.7,82.4,83,20,9.17,few clouds,0.0,0.0
425,Sotuta,MX,20.6,-89.02,80.04,74,95,6.67,overcast clouds,0.0,0.0
427,Ixtapa,MX,20.7,-105.2,86.0,79,90,6.93,overcast clouds,0.0,0.0
428,Nhulunbuy,AU,-12.23,136.77,80.6,61,75,18.34,broken clouds,0.0,0.0
429,Savannah Bight,HN,16.45,-85.85,82.62,82,94,21.18,overcast clouds,0.0,0.0
430,Bhimunipatnam,IN,17.88,83.43,86.0,74,75,9.17,mist,0.0,0.0
433,Komsomolskiy,UZ,40.43,71.72,75.2,29,0,1.66,clear sky,0.0,0.0
436,Micheweni,TZ,-4.97,39.83,76.8,81,28,15.46,scattered clouds,0.0,0.0
437,Neiafu,TO,-18.65,-173.98,80.6,78,40,11.41,scattered clouds,0.0,0.0
439,Totness,SR,5.88,-56.32,78.33,89,99,10.11,overcast clouds,0.0,0.0
440,Baker City,US,44.77,-117.83,80.6,30,1,16.11,clear sky,0.0,0.0
443,Ushtobe,KZ,45.25,77.98,78.49,34,34,6.87,scattered clouds,0.0,0.0
444,Bull Savanna,JM,17.89,-77.59,77.49,84,61,7.52,broken clouds,0.0,0.0
452,Dumas,US,35.87,-101.97,82.0,44,1,3.36,clear sky,0.0,0.0
454,Katherine,AU,-14.47,132.27,78.8,16,10,16.11,clear sky,0.0,0.0
455,Rapu-Rapu,PH,13.19,124.13,84.9,74,15,8.86,few clouds,0.0,0.0
457,Hasaki,JP,35.73,140.83,82.99,78,75,18.34,broken clouds,0.0,0.0
466,Aksu,CN,41.12,80.26,80.8,16,0,5.75,clear sky,0.0,0.0
467,Labytnangi,RU,66.66,66.42,75.36,49,49,6.11,scattered clouds,0.0,0.0
474,Buraydah,SA,26.33,43.98,86.0,28,0,5.82,clear sky,0.0,0.0
477,Atchison,US,39.56,-95.12,80.01,85,0,5.97,clear sky,0.0,0.0
479,Kismayo,SO,-0.36,42.55,77.31,80,75,15.21,broken clouds,0.0,0.0
480,Barra Patuca,HN,15.8,-84.28,80.06,86,37,6.15,scattered clouds,0.0,0.0
486,Saint Anthony,US,45.02,-93.22,79.0,61,1,6.93,clear sky,0.0,0.0
502,Mindelo,CV,16.89,-24.98,77.0,73,75,9.17,broken clouds,0.0,0.0
506,Yatou,CN,37.15,122.38,75.04,78,31,12.12,scattered clouds,0.0,0.0
507,Beni Suef,EG,29.07,31.1,75.7,35,0,3.65,clear sky,0.0,0.0
510,Krasnoarmeyskoye,RU,52.72,50.03,75.88,65,0,4.7,clear sky,0.0,0.0
513,Ahuimanu,US,21.44,-157.84,86.0,55,20,13.87,few clouds,0.0,0.0
516,Salinopolis,BR,-0.61,-47.36,78.85,85,23,9.17,few clouds,0.0,0.0
528,Kalmunai,LK,7.42,81.82,84.65,63,57,3.06,broken clouds,0.0,0.0
529,Avera,US,33.19,-82.53,75.2,92,90,5.82,light rain,0.0,0.0
530,Peoria,US,40.77,-89.77,84.2,62,40,4.5,scattered clouds,0.0,0.0
534,Huntsville,US,34.73,-86.59,79.0,88,1,4.7,clear sky,0.0,0.0
542,Kanniyakumari,IN,8.08,77.57,82.15,73,26,18.66,scattered clouds,0.0,0.0
545,Miri,MY,4.41,114.01,86.0,84,40,5.82,scattered clouds,0.0,0.0
549,Nabire,ID,-3.37,135.48,85.62,60,100,3.78,overcast clouds,0.0,0.0
550,Batticaloa,LK,7.71,81.69,83.82,64,68,3.8,broken clouds,0.0,0.0
552,Siruguppa,IN,15.63,76.9,81.12,68,100,17.49,overcast clouds,0.0,0.0
554,Ati,TD,13.22,18.34,81.72,55,66,12.01,broken clouds,0.0,0.0
556,Vostok,RU,46.49,135.88,78.08,43,65,5.39,broken clouds,0.0,0.0
557,Wilmington,US,34.23,-77.94,79.0,74,1,3.36,clear sky,0.0,0.0
560,Kalianget,ID,-7.05,113.93,83.71,72,18,15.88,few clouds,0.0,0.0
565,Piney Green,US,34.72,-77.32,79.0,83,20,4.38,few clouds,0.0,0.0
